1. +0,Computer Science,,
1.1.,,Computer Science,
1.1.1.,,,Artificial Intelligence
1.1.2.,,,Hardware Architecture
1.1.3.,,,Computational Complexity
1.1.4.,,,"Computational Engineering, Finance, and Science"
1.1.5.,,,Computational Geometry
1.1.6.,,,Computation and Language
1.1.7.,,,Cryptography and Security
1.1.8.,,,Computer Vision and Pattern Recognition
1.1.9.,,,Computers and Society
1.1.10.,,,Databases
1.1.11.,,,"Distributed, Parallel, and Cluster Computing"
1.1.12.,,,Digital Libraries
1.1.13.,,,Discrete Mathematics
1.1.14.,,,Data Structures and Algorithms
1.1.15.,,,Emerging Technologies
1.1.16.,,,Formal Languages and Automata Theory
1.1.17.,,,General Literature
1.1.18.,,,Graphics
1.1.19.,,,Computer Science and Game Theory
1.1.20.,,,Human-Computer Interaction
1.1.21.,,,Information Retrieval
1.1.22.,,,Information Theory
1.1.23.,,,Machine Learning
1.1.24.,,,Logic in Computer Science
1.1.25.,,,Multiagent Systems
1.1.26.,,,Multimedia
1.1.27.,,,Mathematical Software
1.1.28.,,,Numerical Analysis
1.1.29.,,,Neural and Evolutionary Computing
1.1.30.,,,Networking and Internet Architecture
1.1.31.,,,Other Computer Science
1.1.32.,,,Operating Systems
1.1.33.,,,Performance
1.1.34.,,,Programming Languages
1.1.35.,,,Robotics
1.1.36.,,,Symbolic Computation
1.1.37.,,,Sound
1.1.38.,,,Software Engineering
1.1.39.,,,Social and Information Networks
1.1.40.,,,Systems and Control
2. +0,Economics,,
2.1.,,Economics,
2.1.1.,,,Econometrics
2.1.2.,,,General Economics
2.1.3.,,,Theoretical Economics
3. +0,Electrical Engineering and Systems Science,,
3.1.,,Electrical Engineering and Systems Science,
3.1.1.,,,Audio and Speech Processing
3.1.2.,,,Image and Video Processing
3.1.3.,,,Signal Processing
3.1.4.,,,Systems and Control
4. +0,Mathematics,,
4.1.,,Mathematics,
4.1.1.,,,Commutative Algebra
4.1.2.,,,Algebraic Geometry
4.1.3.,,,Analysis of PDEs
4.1.4.,,,Algebraic Topology
4.1.5.,,,Classical Analysis and ODEs
4.1.6.,,,Combinatorics
4.1.7.,,,Category Theory
4.1.8.,,,Complex Variables
4.1.9.,,,Differential Geometry
4.1.10.,,,Dynamical Systems
4.1.11.,,,Functional Analysis
4.1.12.,,,General Mathematics
4.1.13.,,,General Topology
4.1.14.,,,Group Theory
4.1.15.,,,Geometric Topology
4.1.16.,,,History and Overview
4.1.17.,,,Information Theory
4.1.18.,,,K-Theory and Homology
4.1.19.,,,Logic
4.1.20.,,,Metric Geometry
4.1.21.,,,Mathematical Physics
4.1.22.,,,Numerical Analysis
4.1.23.,,,Number Theory
4.1.24.,,,Operator Algebras
4.1.25.,,,Optimization and Control
4.1.26.,,,Probability
4.1.27.,,,Quantum Algebra
4.1.28.,,,Rings and Algebras
4.1.29.,,,Representation Theory
4.1.30.,,,Symplectic Geometry
4.1.31.,,,Spectral Theory
4.1.32.,,,Statistics Theory
5. +0,Physics,,
5.1.,,Astrophysics,
5.1.1.,,,Cosmology and Nongalactic Astrophysics
5.1.2.,,,Earth and Planetary Astrophysics
5.1.3.,,,Astrophysics of Galaxies
5.1.4.,,,High Energy Astrophysical Phenomena
5.1.5.,,,Instrumentation and Methods for Astrophysics
5.1.6.,,,Solar and Stellar Astrophysics
5.2.,,Condensed Matter,
5.2.1.,,,Disordered Systems and Neural Networks
5.2.2.,,,Mesoscale and Nanoscale Physics
5.2.3.,,,Materials Science
5.2.4.,,,Other Condensed Matter
5.2.5.,,,Quantum Gases
5.2.6.,,,Soft Condensed Matter
5.2.7.,,,Statistical Mechanics
5.2.8.,,,Strongly Correlated Electrons
5.2.9.,,,Superconductivity
5.3.,,General Relativity and Quantum Cosmology,
5.3.1.,,,General Relativity and Quantum Cosmology
5.4.,,High Energy Physics - Experiment,
5.4.1.,,,High Energy Physics - Experiment
5.5.,,High Energy Physics - Lattice,
5.5.1.,,,High Energy Physics - Lattice
5.6.,,High Energy Physics - Phenomenology,
5.6.1.,,,High Energy Physics - Phenomenology
5.7.,,High Energy Physics - Theory,
5.7.1.,,,High Energy Physics - Theory
5.8.,,Mathematical Physics,
5.8.1.,,,Mathematical Physics
